Barangay,University,Distance (km),Time (mins),Rides
Alipangpang,University of Eastern Pangasinan,7.31,7.8,1 ride
Alipangpang,Pangasinan State University - Urdaneta City,14.32,13.0,1 ride
Alipangpang,Urdaneta City University,16.68,15.6,2 rides
Alipangpang,Pangasinan State University - Asingan,22.67,22.9,2 rides
Alipangpang,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,31.07,35.7,1 ride
Alipangpang,DMMMSU – South La Union Campus  (SLUC) - Agoo,37.29,44.3,1 ride
Alipangpang,University of Pangasinan - PHINMA,31.36,44.3,3 rides
Alipangpang,Pangasinan Merchant Marine Academy,43.29,44.9,3 rides
Alipangpang,Lyceum-Northwestern University,45.19,47.6,3 rides
Alipangpang,Pangasinan State University - Bayambang,45.74,55.4,2 rides
Alipangpang,University of the Philippines - Baguio,47.22,57.5,2 rides
Alipangpang,Tarlac State University - Tarlac,76.56,65.5,1 ride
Alipangpang,Pangasinan State University - Lingayen,57.1,66.1,4 rides
Alipangpang,Pangasinan Polytechnic College,57.36,66.3,4 rides
Alipangpang,UP Manila School of Health Sciences - Tarlac,77.82,67.1,-
Alipangpang,Central Luzon State University,86.87,81.2,2 rides
Alipangpang,University of Cordilleras,64.86,84.5,2 rides
Alipangpang,University of Baguio,65.85,88.0,2 rides
Alipangpang,DMMMSU – Mid La Union Campus (MLUC),69.07,88.4,1 ride
Alipangpang,Saint Louis University - Baguio,66.52,89.6,2 rides
Alipangpang,Benguet State University - La Trinidad,70.82,97.9,2 rides
Alipangpang,Philippine Military Academy,71.5,98.2,2 rides
Alipangpang,Polytechnic University of the Philippines - Manila,197.66,163.5,3 rides
Alipangpang,University of the Philippines - Diliman,197.15,163.6,3 rides
Alipangpang,University of the Philippines - Manila,198.77,167.2,3 rides
Alipangpang,Maritime Academy of Asia and the Pacific,211.43,177.2,2 rides
Amagbagan,University of Eastern Pangasinan,11.47,14.9,2 rides
Amagbagan,Pangasinan State University - Urdaneta City,18.51,19.5,2 rides
Amagbagan,Urdaneta City University,20.87,22.1,3 rides
Amagbagan,Pangasinan State University - Asingan,26.86,29.4,3 rides
Amagbagan,University of Pangasinan - PHINMA,22.27,37.2,2 rides
Amagbagan,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,31.44,37.9,2 rides
Amagbagan,Pangasinan Merchant Marine Academy,22.87,38.6,2 rides
Amagbagan,Lyceum-Northwestern University,24.2,41.4,2 rides
Amagbagan,DMMMSU – South La Union Campus  (SLUC) - Agoo,37.66,46.5,2 rides
Amagbagan,University of the Philippines - Baguio,47.59,59.7,3 rides
Amagbagan,Pangasinan State University - Bayambang,49.93,61.9,3 rides
Amagbagan,Pangasinan State University - Lingayen,39.22,63.4,3 rides
Amagbagan,Pangasinan Polytechnic College,39.49,63.6,3 rides
Amagbagan,Tarlac State University - Tarlac,79.06,70.3,2 rides
Amagbagan,UP Manila School of Health Sciences - Tarlac,80.32,72.0,-
Amagbagan,Central Luzon State University,89.38,86.1,3 rides
Amagbagan,University of Cordilleras,65.24,86.7,3 rides
Amagbagan,University of Baguio,66.22,90.2,3 rides
Amagbagan,DMMMSU – Mid La Union Campus (MLUC),69.45,90.7,2 rides
Amagbagan,Saint Louis University - Baguio,66.89,91.9,3 rides
Amagbagan,Benguet State University - La Trinidad,71.19,100.1,3 rides
Amagbagan,Philippine Military Academy,71.87,100.4,3 rides
Amagbagan,Polytechnic University of the Philippines - Manila,200.17,168.3,4 rides
Amagbagan,University of the Philippines - Diliman,199.65,168.4,4 rides
Amagbagan,University of the Philippines - Manila,201.28,172.0,4 rides
Amagbagan,Maritime Academy of Asia and the Pacific,213.94,182.1,3 rides
Balacag,University of Eastern Pangasinan,17.56,24.7,3 rides
Balacag,Pangasinan State University - Urdaneta City,24.6,28.3,3 rides
Balacag,Urdaneta City University,26.96,30.9,4 rides
Balacag,University of Pangasinan - PHINMA,23.01,36.0,4 rides
Balacag,Pangasinan Merchant Marine Academy,23.61,37.4,4 rides
Balacag,Pangasinan State University - Asingan,32.94,38.2,4 rides
Balacag,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,28.7,38.8,3 rides
Balacag,Lyceum-Northwestern University,24.93,40.2,4 rides
Balacag,DMMMSU – South La Union Campus  (SLUC) - Agoo,34.92,47.4,3 rides
Balacag,University of the Philippines - Baguio,44.85,60.7,4 rides
Balacag,Pangasinan State University - Lingayen,39.96,62.2,5 rides
Balacag,Pangasinan Polytechnic College,40.22,62.4,5 rides
Balacag,Pangasinan State University - Bayambang,47.09,64.3,4 rides
Balacag,Tarlac State University - Tarlac,85.34,77.9,3 rides
Balacag,UP Manila School of Health Sciences - Tarlac,86.6,79.5,-
Balacag,University of Cordilleras,62.73,88.8,4 rides
Balacag,DMMMSU – Mid La Union Campus (MLUC),66.71,91.6,3 rides
Balacag,University of Baguio,63.72,92.4,4 rides
Balacag,Central Luzon State University,95.66,93.6,4 rides
Balacag,Saint Louis University - Baguio,64.39,94.0,4 rides
Balacag,Benguet State University - La Trinidad,68.69,102.2,4 rides
Balacag,Philippine Military Academy,69.37,102.5,4 rides
Balacag,Polytechnic University of the Philippines - Manila,206.45,175.9,5 rides
Balacag,University of the Philippines - Diliman,205.93,176.0,5 rides
Balacag,University of the Philippines - Manila,207.56,179.6,5 rides
Balacag,Maritime Academy of Asia and the Pacific,220.22,189.6,4 rides
Banding,University of Eastern Pangasinan,8.26,9.2,2 rides
Banding,Pangasinan State University - Urdaneta City,15.27,14.4,2 rides
Banding,Urdaneta City University,17.63,17.0,3 rides
Banding,Pangasinan State University - Asingan,23.62,24.3,3 rides
Banding,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,31.22,36.1,2 rides
Banding,University of Pangasinan - PHINMA,30.41,42.9,3 rides
Banding,Pangasinan Merchant Marine Academy,31.01,44.3,3 rides
Banding,DMMMSU – South La Union Campus  (SLUC) - Agoo,37.45,44.7,2 rides
Banding,Lyceum-Northwestern University,32.34,47.1,3 rides
Banding,Pangasinan State University - Bayambang,46.69,56.8,3 rides
Banding,University of the Philippines - Baguio,47.37,57.9,3 rides
Banding,Tarlac State University - Tarlac,77.51,66.8,2 rides
Banding,Pangasinan State University - Lingayen,58.04,67.4,4 rides
Banding,Pangasinan Polytechnic College,58.3,67.7,4 rides
Banding,UP Manila School of Health Sciences - Tarlac,78.76,68.5,-
Banding,Central Luzon State University,87.82,82.6,3 rides
Banding,University of Cordilleras,65.02,84.9,3 rides
Banding,University of Baguio,66.01,88.4,3 rides
Banding,DMMMSU – Mid La Union Campus (MLUC),69.23,88.9,2 rides
Banding,Saint Louis University - Baguio,66.68,90.1,3 rides
Banding,Benguet State University - La Trinidad,70.98,98.3,3 rides
Banding,Philippine Military Academy,71.66,98.6,3 rides
Banding,University of the Philippines - Diliman,198.09,164.9,4 rides
Banding,Polytechnic University of the Philippines - Manila,198.61,164.9,4 rides
Banding,University of the Philippines - Manila,199.72,168.6,4 rides
Banding,Maritime Academy of Asia and the Pacific,212.38,178.6,3 rides
Bantugan,University of Eastern Pangasinan,13.52,18.7,3 rides
Bantugan,Pangasinan State University - Urdaneta City,20.55,23.3,3 rides
Bantugan,Urdaneta City University,22.91,25.9,4 rides
Bantugan,Pangasinan State University - Asingan,28.9,33.2,4 rides
Bantugan,University of Pangasinan - PHINMA,20.22,33.4,4 rides
Bantugan,Pangasinan Merchant Marine Academy,20.83,34.8,4 rides
Bantugan,Lyceum-Northwestern University,22.15,37.6,4 rides
Bantugan,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,33.49,41.7,3 rides
Bantugan,DMMMSU – South La Union Campus  (SLUC) - Agoo,39.71,50.4,3 rides
Bantugan,Pangasinan State University - Lingayen,37.18,59.6,5 rides
Bantugan,Pangasinan Polytechnic College,37.44,59.8,5 rides
Bantugan,Pangasinan State University - Bayambang,44.31,61.7,4 rides
Bantugan,University of the Philippines - Baguio,49.63,63.6,4 rides
Bantugan,Tarlac State University - Tarlac,81.11,74.1,3 rides
Bantugan,UP Manila School of Health Sciences - Tarlac,82.37,75.8,-
Bantugan,Central Luzon State University,91.42,89.9,4 rides
Bantugan,University of Cordilleras,67.28,90.5,4 rides
Bantugan,University of Baguio,68.27,94.1,4 rides
Bantugan,DMMMSU – Mid La Union Campus (MLUC),71.49,94.5,3 rides
Bantugan,Saint Louis University - Baguio,68.94,95.7,4 rides
Bantugan,Benguet State University - La Trinidad,73.24,104.0,4 rides
Bantugan,Philippine Military Academy,73.92,104.2,4 rides
Bantugan,University of the Philippines - Diliman,201.69,172.2,5 rides
Bantugan,Polytechnic University of the Philippines - Manila,202.21,172.2,5 rides
Bantugan,University of the Philippines - Manila,203.32,175.9,5 rides
Bantugan,Maritime Academy of Asia and the Pacific,215.98,185.9,4 rides
Batakil,University of Eastern Pangasinan,13.73,15.5,2 rides
Batakil,Pangasinan State University - Urdaneta City,20.76,19.0,2 rides
Batakil,Urdaneta City University,23.12,21.6,3 rides
Batakil,Pangasinan State University - Asingan,29.11,28.9,3 rides
Batakil,DMMMSU – South La Union Campus (SLUC) - Sto. Tomas,25.43,30.0,2 rides
Batakil,DMMMSU – South La Union Campus  (SLUC) - Agoo,31.66,38.6,2 rides
